movie_id,actor_id,ord
2170240,16178,4
2211704,16178,3
2328433,16178,2
2356005,16178,2
2559039,16178,3
2610506,16178,1
2624872,16178,2
2708835,16178,1
2592065,16188,2
2079663,16419,3
2200755,16419,3
2475208,16419,3
1946454,16773,5
2228686,17227,5
2162940,17691,5
1589035,17691,3
1965847,17717,4
2029835,17717,1
2097249,17717,4
2139734,17717,4
2166014,17717,2
2200478,17717,3
2303924,17717,4
2343698,17717,5
2643549,17717,3
2275692,17887,2
2471192,17887,3
2543180,17887,5
2557820,17887,5
2244845,18037,4
2277273,18037,4
2620542,18082,5
2376783,18507,4
2577844,18507,3
2579819,18507,2
2667161,18507,4
1983570,18746,4
2349902,18811,5
2765704,18811,5
1945318,19052,1
2321431,19052,2
2761011,19052,1
2167048,19505,5
2222343,19614,3
1889115,19704,3
2406031,19805,5
2107506,19923,1
2659227,19923,5
1899051,19944,2
1972084,19944,3
2465789,19944,5
2619343,19944,5
2635410,19944,5
1589143,19944,2
2209427,20081,5
2045068,20176,2
2239203,20381,4
2321431,20381,4
2484357,20381,5
1945318,20731,3
2133321,20731,3
2133897,20731,5
2239203,20731,5
2321431,20731,5
2482065,20731,2
2560472,20731,3
1929146,21124,1
2501357,22180,3
2150606,22338,4
2733257,22378,5
2239203,22669,3
2321431,22669,3
2484357,22669,4
2138354,22818,1
1901913,22830,5
61019,23254,4
2205092,23261,4
2046259,23368,4
61019,23392,4
2009315,23399,5
2601809,1237523,5
2011514,23399,1
2358323,23399,1
2584738,23399,5
1883698,23508,2
1946442,23508,4
1948523,23508,4
2039404,23508,4
2068364,23508,1
2174030,23508,3
2322846,23508,2
2403143,23508,4
2474331,23508,3
2524038,23508,4
2597409,23508,2
2613140,23508,5
2625380,23508,1
2625418,23508,2
2657223,23508,5
2658414,23508,4
1939345,23510,2
2108488,23510,1
2240354,23685,2
2012709,23707,3
2324105,23708,5
1956832,23710,4
61019,23719,4
1881755,23753,4
2174781,23755,2
1854168,23958,5
1890182,23958,4
2214415,23958,5
2312606,23958,4
