id,title,yr,score,votes,director
2030774,Dodsworth,1936,8.2,5231,"Wyler, William"
2569910,Tell Your Children,1936,3.7,5128,"Gasnier, Louis J."
2496965,Secret Agent,1936,6.7,5007,"Hitchcock, Alfred"
1943671,Camille,1936,7.6,4566,"Cukor, George"
2282999,Libeled Lady,1936,7.8,4313,"Conway, Jack"
2672053,Things to Come,1936,6.8,3842,"Menzies, William Cameron"
2610903,The Great Ziegfeld,1936,6.9,3593,"Leonard, Robert Z."
2486376,San Francisco,1936,7.4,3175,"Van Dyke, W.S."
2037897,Dracula's Daughter,1936,6.4,2976,"Hillyer, Lambert"
2412201,Partie de campagne,1936,7.8,2754,"Renoir, Jean"
2589739,The Charge of the Light Brigade,1936,7.2,2683,"Curtiz, Michael"
2094118,Follow the Fleet,1936,7.3,2429,"Sandrich, Mark"
2566086,Tarzan Escapes,1936,7.1,2196,"Thorpe, Richard"
2597461,The Devil-Doll,1936,7.1,2176,"Browning, Tod"
2512810,Show Boat,1936,7.8,1789,"Whale, James"
2747193,Wife vs. Secretary,1936,7.1,1768,"Brown, Clarence"
2276703,Les bas-fonds,1936,7.7,1652,"Renoir, Jean"
1936789,Bullets or Ballots,1936,7.1,1524,"Keighley, William"
2268002,Le crime de Monsieur Lange,1936,7.6,1510,"Renoir, Jean"
2402402,Our Relations,1936,7.5,1475,"Lachman, Harry"
2318880,Mary of Scotland,1936,6.5,1366,"Ford, John"
2671293,These Three,1936,7.7,1311,"Wyler, William"
1955679,Charlie Chan at the Opera,1936,7.7,1310,"Humberstone, H. Bruce"
2155261,Hitori musuko,1936,7.7,1251,"Ozu, Yasujirô"
2091330,Flash Gordon,1936,7.5,1246,"Taylor, Ray"
2432771,Popeye the Sailor Meets Sindbad the Sailor,1936,7.5,1239,"Bowsky, Willard"
2670659,Theodora Goes Wild,1936,7.4,1189,"Boleslawski, Richard"
