id,name
85187,"Badalucco, Michael"
86103,"Baer, Buddy"
86196,Baert
85535,"Badgley, Penn"
85414,"Bader, Diedrich"
86135,"Baer, John"
86231,"Baessato, Giacomo"
85872,"Badurina, Livio"
84831,"Backus, Frederick S."
84842,"Backus, Richard"
84974,"Bacon, Nick"
84826,"Backus, David"
86726,"Baggetta, Vincent"
84656,"Backer, Brian"
84954,"Bacon, Lloyd"
85053,"Bacqué, André"
86158,"Baer, Parley"
84949,"Bacon, Kevin"
85338,"Badel, Alan"
85185,"Badalucco Jr., Joseph"
84838,"Backus, Jim"
86474,"Bagashvili, Spartak"
85811,"Badreya, Sayed"
84854,"Backy, Don"
89367,"Baio, Scott"
88285,"Bailey, G.W."
89360,"Baio, Jimmy"
87916,"Bailess, Zachary"
88796,"Bailey, Shane"
87700,"Bai, Ying"
88727,"Bailey, Robert"
88255,"Bailey, Eion"
87030,"Bagneris, Vernel"
88703,"Bailey, Raymond"
89487,"Baird, Harry"
87079,"Bagot, Jean-Pierre"
88017,"Bailey, Bill"
88737,"Bailey, Robin"
86928,"Bagley, Ross"
88773,"Bailey, Scott"
91696,"Baker, Tom"
90701,"Baker, Eddie"
91383,"Baker, Paul"
90912,"Baker, Jay"
90608,"Baker, David Aaron"
91401,"Baker, Phil"
90028,"Baka, Miroslaw"
91315,"Baker, Mitch"
90963,"Baker, Joby"
91622,"Baker, Stanley"
90972,"Baker, Joe Don"
91265,"Baker, Max"
90198,"Baker III, James"
90742,"Baker, Frank"
91484,"Baker, Robert"
90772,"Baker, George"
90035,"Bakaitis, Helmut"
90689,"Baker, Dylan"
91611,"Baker, Simon"
91548,"Baker, Sala"
90881,"Baker, James"
91116,"Baker, Kenny"
91148,"Baker, Lee"
93700,"Baldwin, Alec"
93796,"Baldwin, Dick"
92478,"Balaban, Bob"
94022,"Baldwin, William"
91888,"Bakhtadze, Dato"
93488,"Baldini, Renato"
93987,"Baldwin, Stephen"
93693,"Baldwin, A. Michael"
93696,"Baldwin, Adam"
94055,"Bale, Christian"
94274,"Balfour, Eric"
93937,"Baldwin, Peter"
93768,"Baldwin, Daniel"
94394,"Balicki, Ron"
93893,"Baldwin, Lance"
92349,"Bakula, Scott"
91832,"Bakewell, William"
97697,"Banderas, Antonio"
96610,"Balutin, Jacques"
96934,"Bambridge, Bill"
95295,"Ballard, Steve"
97533,"Band, The"
96947,"Bambury, John T."
95940,"Balme, Timothy"
96210,"Balp, Bruno"
94964,"Ball, William"
95378,"Ballatore, Thomas"
96274,"Balsan, Humbert"
97013,"Bamman, Gerry"
97095,"Bana, Eric"
97318,"Bancroft, George"
96592,"Baluev, Aleksandr"
94929,"Ball, Sam"
96241,"Balsam, Martin"
96721,"Balzer, Karl Michael"
98234,"Banerjee, Subir"
97999,"Bandô, Tsumasaburô"
97983,"Bandô, Chôemon"
99526,"Bannister, Reggie"
99551,"Bannon, Chad"
98651,"Banionis, Donatas"
99110,"Banks, Monty"
98565,"Banham, Russ"
98879,"Banks, Caerthan"
98256,"Banerjee, Victor"
97990,"Bandô, Minosuke"
99051,"Banks, Jonathan"
97989,"Bandô, Kôtarô"
99573,"Bannon, Jim"
99352,"Banner, John"
99308,"Bannard, Robert"
97772,"Bandini, Augusto"
97819,"Bando, Junosuke"
99152,"Banks, Richard"
99077,"Banks, Leslie"
99388,"Bannerjee, Kanu"
99342,"Banner, David"
99324,"Bannen, Ian"
102976,"Bardini, Aleksander"
101842,"Barbier, George"
102656,"Barclay, Steve"
101701,"Barberini, Urbano"
101336,"Barbee, Todd"
102534,"Barcis, Artur"
102594,"Barclay, Eric"
101157,"Barbareschi, Luca"
100904,"Baratov, Leonid"
102918,"Bardette, Trevor"
102648,"Barclay, Roger"
102730,"Bard, Ben"
101273,"Barbaud, Pierre"
102615,"Barclay, John"
101427,"Barber, David"
102867,"Bardem, Javier"
104564,"Barl, Matija"
103058,"Bardsley, Grant"
104062,"Barker, Eric"
103042,"Bardou, Camille"
104184,"Barker, Lex"
103933,"Barker Jr., Alfred"
104841,"Barlow, Tim"
104807,"Barlow, Ray"
103560,"Barhom, Ashraf"
105231,"Barnes, Ben"
105811,"Barnes, T. Roy"
106797,"Baron, Sandy"
107291,"Barra, Gianfranco"
105971,"Barnett, Chester"
107547,"Barrat, Robert"
107179,"Barr, Jean-Marc"
105968,"Barnett, Charlie"
104984,"Barnabò, Guglielmo"
105107,"Barnault, Marcel"
106618,"Baron Cohen, Sacha"
107609,"Barrault, Jean-Louis"
108420,"Barrett, Mark"
105865,"Barnes, Walter"
108135,"Barrett, Albert L."
105900,"Barnet, Boris"
107145,"Barr, Douglas"
106624,"Baron, Allen"
106038,"Barnett, Griff"
106250,"Barnett, Vince"
105298,"Barnes, Chris"
106980,"Baroo, Eddie"
105318,"Barnes, Christopher Daniel"
107600,"Barraud, George"
107041,"Barouh, Pierre"
110077,"Barry, Raymond"
110004,"Barry, Matthew"
110153,"Barry, Todd"
108790,"Barrier, Maurice"
109856,"Barry, Don 'Red'"
109665,"Barrows, Henry A."
110080,"Barry, Raymond J."
108707,"Barrie, Colin"
109305,"Barron, Richard"
109884,"Barry, Gene"
108731,"Barrie, Nigel"
108838,"Barrile, Anthony"
109265,"Barron, Keith"
108782,"Barrier, Edgar"
109863,"Barry, Eddie"
108493,"Barrett, Ray"
108705,"Barrie, Chris"
108756,"Barrientos, Guillermo"
112154,"Barty, Jack"
110706,"Barter, Bryan"
110346,"Barsky, Vladimir"
110241,"Barsacq, Yves"
112153,"Barty, Billy"
110750,"Barth, Eddie"
111287,"Bartlett, Philip"
110884,"Barthelmess, Richard"
110160,"Barry, Tony"
111861,"Barton, Peter"
110952,"Bartholomew, Freddie"
111760,"Barton, James"
111341,"Bartlett, Tom"
110664,"Bartels, Louis John"
110575,"Bartel, Paul"
111483,"Bartold, Norman"
112394,"Baryshnikov, Mikhail"
112844,"Basehart, Jackie"
110190,"Barrymore, Lionel"
112259,"Baruchel, Jay"
110467,"Bart, Roger"
110186,"Barrymore, John"
112845,"Basehart, Richard"
110829,"Bartha, Justin"
115487,"Bates, Les"
114886,"Batalov, Aleksey"
115624,"Bates, William"
113584,"Bass, Alfie"
114903,"Batanides, Arthur"
113405,"Baskin, Elya"
113872,"Bassermann, Albert"
113988,"Bassett, Steve"
114587,"Bastos, Othon"
115258,"Bates, Alan"
113993,"Bassett, William"
114770,"Baswani, Ravi"
114954,"Batcheff, Pierre"
113239,"Basile, Salvatore"
113171,"Basilashvili, Oleg"
115647,"Bateson, Timothy"
113535,"Basov, Vladimir"
114888,"Batalov, Nikolai"
113378,"Baskett, James"
115510,"Bates, Michael"
115157,"Bateman, Jason"
113551,"Basquez, Rudy"
116538,"Battisti, Carlo"
117443,"Bauer, Steven"
118687,"Baviera, José"
116197,"Batt, Bryan"
115785,"Batinkoff, Randall"
118248,"Baur, Harry"
117587,"Baugin, Eric"
118427,"Bautista, Dave"
115750,"Bathurst, Robert"
116936,"Baucom, Bill"
116906,"Bauchau, Patrick"
116287,"Battaglia, Rik"
117115,"Bauer, Arthur"
118879,"Baxter, Alan"
121874,"Beatles, The"
121355,"Bear, Youk the"
119163,"Baxter, Warner"
120789,"Beal, John"
118989,"Baxter, George"
121157,"Bean, Orson"
121837,"Beasts, Wild"
121029,"Beamish, Frank"
119590,"Bayler, Terence"
121170,"Bean, Robert"
120386,"Bañagale, Clifford"
121177,"Bean, Sean"
120348,"Bazzini, Ugo"
120514,"Beach, Gary"
120482,"Beach, Adam"
121254,"Bear, Bart the"
123937,"Beckel, Graham"
123678,"Beck, John"
123707,"Beck, Julian"
122975,"Beban, George"
124603,"Beckett, Scotty"
123380,"Bechtel, William"
122790,"Beauvais, Paul"
122129,"Beatty, Ned"
123877,"Beck, Thomas"
122082,"Beatty, Clyde"
122154,"Beatty, Warren"
124110,"Becker, Gerry"
122168,"Beaty, Frank"
122616,"Beaumont, Hugh"
122137,"Beatty, Robert"
123108,"Beccara, Mario"
122822,"Beauvy, Nicolas"
123766,"Beck, Michael"
123896,"Beck, Vincent"
123860,"Beck, Stanley"
124120,"Becker, Hartmut"
126936,"Behjat-Mohamadi, Firouz"
126252,"Beery Jr., Noah"
127080,"Behr, Jason"
126611,"Beghe, Jason"
126266,"Beery, Noah"
125436,"Bednarz, Jamal Sydney"
127177,"Behrens, Bernard"
126664,"Begley Jr., Ed"
124777,"Beckman, Henry"
126680,"Begley, Ed"
124753,"Beckley, Tony"
126174,"Beerblock, Maurice"
125100,"Beddoe, Don"
126981,"Behling, Robert"
125213,"Bedford Lloyd, John"
126593,"Beggs, Lee"
126270,"Beery, Wallace"
125453,"Bednob, Gerry"
125861,"Beecroft, Greg"
125220,"Bedford, Brian"
